ID,age,gender,Machiavellianism,Narcissism,Psychopathy,Extraversion,Agreeableness,Conscientiousness,EmotionStability
100,26,Male,14,17,16,23,41,27,42
102,21,Female,26,21,17,21,27,32,21
106,20,Female,14,24,16,18,31,30,29
107,24,Female,29,24,13,30,39,42,47
121,23,Female,26,25,24,26,46,41,24
132,25,Female,21,17,15,30,45,40,41
134,28,Male,32,26,23,26,33,32,30
139,17,Male,26,24,13,28,44,46,31
140,24,Female,24,26,20,31,49,41,28
141,24,Female,21,23,16,34,38,34,26
143,24,Female,19,14,14,21,35,41,20
144,26,Male,22,23,15,33,44,38,29
148,25,Female,29,26,21,33,43,39,40
149,22,Female,34,23,22,28,47,37,26
151,24,Male,25,23,17,24,40,36,46
161,26,Female,22,19,17,19,37,34,26
165,22,Male,31,27,26,24,38,37,36
175,66,Male,24,14,10,10,36,37,20
178,23,Female,32,25,20,16,42,43,26
180,23,Female,25,23,11,19,49,46,25
184,16,Male,36,32,32,28,30,30,30
190,15,Male,19,20,18,20,46,38,22
201,23,Female,21,22,19,28,43,37,22
204,19,Male,36,30,31,34,34,35,29
207,23,Male,42,37,21,32,44,39,41
210,29,Female,23,17,19,33,37,36,28
223,25,Male,32,18,20,16,34,38,35
228,26,Female,20,20,21,25,42,36,28
233,24,Female,21,23,17,32,44,35,21
234,27,Female,28,27,22,43,41,33,28
236,26,Female,29,26,12,33,46,39,29
243,22,Female,27,25,16,36,46,36,35
244,28,Female,19,17,16,28,44,37,38
245,19,Female,22,29,26,44,41,32,37
262,19,Female,31,32,24,30,47,44,28
264,23,Female,18,18,21,42,46,35,42
268,24,Male,22,21,24,38,36,32,42
271,21,Female,28,23,18,40,38,24,37
272,23,Male,20,17,14,19,44,34,25
275,20,Female,35,30,27,21,24,31,26
278,27,Female,26,17,12,20,34,33,35
281,23,Female,33,31,27,41,39,38,38
290,22,Female,14,19,15,35,47,39,27
298,43,Female,31,19,14,29,47,27,13
311,22,Female,22,23,12,35,43,40,34
313,25,Female,30,20,20,30,43,36,29
315,26,Female,23,27,17,37,48,45,35
317,24,Female,33,23,19,27,44,43,28
327,38,Female,22,18,13,27,42,39,22
329,21,Female,13,23,11,20,50,47,28
330,25,Female,35,31,26,27,23,32,25
335,25,Female,26,20,18,32,45,38,27
337,23,Female,28,21,18,26,43,40,18
340,32,Female,23,14,14,24,45,38,28
341,33,Female,25,18,10,21,36,36,27
342,23,Female,20,18,13,29,43,40,41
356,17,Male,33,26,20,30,31,37,37
364,23,Female,17,24,22,41,34,35,14
365,25,Female,26,23,20,33,39,35,39
366,20,Female,29,29,28,33,30,35,33
374,23,Female,32,25,24,32,34,37,21
375,28,Female,31,23,20,24,37,34,37
385,25,Female,30,21,25,33,42,37,34
388,19,Female,20,19,18,31,48,33,16
389,24,Female,26,15,19,15,34,31,33
390,27,Female,29,29,13,38,43,35,42
391,25,Female,24,18,12,28,42,41,33
396,22,Female,22,21,22,32,28,29,22
397,26,Female,36,34,23,38,42,37,26
398,23,Female,28,24,20,29,42,45,18
400,23,Female,28,26,24,36,39,41,16
411,23,Female,26,19,17,24,43,30,29
418,19,Female,41,37,19,48,22,28,45
434,22,Female,27,28,19,28,38,39,31
437,23,Male,16,25,22,36,34,35,35
439,22,Female,25,21,20,13,50,37,35
444,21,Female,37,29,32,30,32,38,24
447,21,Female,20,21,19,34,39,35,27
450,30,Female,33,30,23,47,38,40,24
451,30,Female,31,20,25,28,36,31,21
453,20,Female,25,15,16,24,34,34,26
455,20,Female,43,25,27,25,28,33,18
468,19,Female,33,31,19,32,49,37,28
475,20,Male,32,27,30,28,25,22,27
477,21,Female,38,27,22,23,39,41,33
483,22,Female,22,24,16,29,38,39,30
490,15,Female,22,16,22,24,40,40,23
500,25,Female,13,15,15,32,41,40,29
501,24,Male,37,28,23,43,39,29,24
502,23,Male,29,26,20,26,29,29,28
506,18,Female,31,12,23,19,40,27,21
513,22,Female,25,24,18,20,46,39,24
520,22,Female,14,18,13,18,41,40,19
530,24,Female,24,25,18,32,39,35,33
531,27,Male,27,27,23,26,40,39,37
534,22,Female,24,22,24,33,47,39,35
535,22,Male,32,29,22,27,38,41,15
536,28,Female,16,18,13,31,45,42,31
537,21,Female,21,18,16,25,45,34,32
541,22,Female,27,30,11,35,44,36,31
545,19,Female,23,29,20,45,40,39,35
551,21,Female,33,24,29,36,39,33,28
558,21,Female,32,28,22,26,40,35,32
560,22,Female,30,29,17,24,28,36,34
571,23,Female,22,19,10,27,45,36,30
572,22,Female,28,19,16,33,26,35,38
583,19,Male,32,21,26,21,36,31,17
585,24,Male,28,18,23,18,40,37,37
587,36,Female,24,22,17,27,48,39,40
588,19,Female,29,24,16,34,41,34,21
589,16,Male,40,32,34,31,45,42,28
590,18,Male,37,21,18,15,47,39,32
593,27,Female,29,19,21,10,36,45,14
595,25,Female,33,25,20,39,40,37,31
597,17,Female,24,17,19,33,36,35,19
606,22,Female,30,26,21,39,39,36,25
607,27,Female,33,27,29,30,32,34,28
612,19,Female,24,18,18,21,42,32,31
614,30,Female,19,17,13,47,50,29,22
617,26,Female,34,22,23,18,28,28,21
618,24,Female,18,25,10,21,43,45,21
627,16,Female,18,19,11,23,35,40,30
637,19,Female,29,28,16,33,41,34,24
642,22,Female,19,17,10,27,42,35,30
649,20,Female,24,21,23,33,42,38,43
650,26,Female,28,27,21,29,33,26,23
651,13,Female,35,28,12,24,48,41,15
662,19,Female,19,17,12,23,42,47,30
667,20,Female,29,11,22,10,24,21,20
671,17,Female,12,15,11,15,41,36,11
675,19,Male,23,22,19,26,35,34,30
676,18,Female,21,19,14,22,49,38,27
680,27,Male,24,14,17,16,38,36,31
683,50,Female,30,19,11,38,46,44,42
687,19,Female,28,23,20,25,44,39,34
699,22,Female,29,27,21,31,43,42,17
700,22,Female,10,16,12,32,43,47,20
702,18,Female,22,25,16,25,43,43,26
707,17,Female,26,25,18,18,38,37,19
718,18,Female,16,16,16,15,43,41,16
720,19,Female,28,28,15,30,46,44,17
721,23,Female,27,20,16,18,36,29,19
723,19,Female,24,19,17,29,44,43,22
726,27,Female,33,30,23,38,46,27,21
727,22,Female,17,15,14,14,31,34,19
728,24,Female,25,23,17,38,42,37,30
729,22,Female,32,26,25,32,43,41,23
734,21,Female,31,20,22,16,37,37,38
744,14,Female,21,18,14,25,50,49,24
748,18,Female,26,25,20,29,32,37,33
753,27,Female,26,28,13,39,43,40,28
760,18,Female,26,18,21,21,36,34,29
